age,gender,mbti,styles
24,female,ISFJ,"보헤미안, 모더니즘, 미니멀리즘, 빅토리아, 카운트리"
23,female,ISFJ,"복고풍, 키치, 펑크, 팝아트, 하이테크"
24,male,ESTP,"고전주의, 모노크롬, 모더니즘, 스트리트웨어, 하이테크"
22,female,ISFP,"고전주의, 미니멀리즘, 빅토리아, 스트리트웨어, 카운트리, 코티지코어"
21,female,ESTP,"모더니즘, 서스테이너블, 아르누보, 젠더 뉴트럴, 코티지코어"
25,none,INTP,"그런지, 보헤미안, 모노크롬, 아르누보, 아르데코, 인더스트리얼, "
22,female,ENFP,"미니멀리즘, 서스테이너블, 아르누보, 젠더 뉴트럴, 코티지코어, "
24,female,ESTP,"보헤미안, 모더니즘, 빅토리아, 사이버펑크, 스트리트웨어, 키치, 하이테크, 글램"
24,male,ISFJ,"모노크롬, 모더니즘, 미니멀리즘, 빈티지, 스포티, 젠더 뉴트럴, 카운트리, 하이테크, 글램"
24,male,ISFJ,"빅토리아, 사이버펑크, 서스테이너블, 스포티, 코티지코어, 피트니스, 하이테크"
24,male,ENFJ,"그런지, 보헤미안, 모더니즘, 빅토리아, 사이버펑크, 스트리트웨어, 인더스트리얼, 코티지코어"
17,female,ISTP,"모더니즘, 빅토리아, 서스테이너블, 젠더 뉴트럴, 코티지코어"
23,female,ESFJ,"고전주의, 모더니즘, 미니멀리즘, 서스테이너블, 아르누보, "
17,female,ESTP,"그런지, 고전주의, 바로크, 펑크, 글램"
17,female,ISTJ,"고전주의, 바로크, 빅토리아, 카운트리, 코티지코어, 글램"
23,female,ISTJ,"모노크롬, 모더니즘, 미니멀리즘, 빅토리아, 사이버펑크, 서스테이너블, 스포티, 피트니스, 하이테크"
22,male,INFJ,"고전주의, 모더니즘, 미니멀리즘, 바로크, 노마드"
23,female,ENFP,"로맨틱, 모더니즘, 빅토리아, 코티지코어, 글램"
23,female,ISFP,"고전주의, 모더니즘, 미니멀리즘, 바로크, 빅토리아, 사이버펑크"
25,female,INTP,"고전주의, 모더니즘, 바로크, 빅토리아, 사이버펑크, 글램"
17,female,ISTP,"모더니즘, 미니멀리즘, 스포티, 젠더 뉴트럴, 카운트리"
23,female,INTP,"보헤미안, 모노크롬, 모더니즘, 미니멀리즘, 젠더 뉴트럴, 키치"
24,male,ESTJ,"복고풍, 빈티지, 코티지코어, 피트니스, 하이테크, 노마드"
53,female,ESFJ,"고전주의, 보헤미안, 복고풍, 미니멀리즘, 바로크, 젠더 뉴트럴"
24,male,ESFP,"사이버펑크, 스트리트웨어, 스포티, 카운트리, 코티지코어"
21,female,INFJ,"그런지, 고전주의, 모노크롬, 모더니즘, 바로크, 빅토리아, 서스테이너블, 아르누보, 아방가르드, 인더스트리얼, 젠더 뉴트럴"
23,male,ISFJ,"그런지, 모더니즘, 미니멀리즘, 사이버펑크, 스트리트웨어, 아르데코"
21,female,INFP,"사이버펑크, 스트리트웨어, 키치, 팝아트, 펑크"
