age,gender,mbti,styles
21,female,ISFP,"모더니즘, 보헤미안, 미니멀리즘, 모노크롬, 인더스트리얼, 키치, 젠더뉴트럴"
24,female,ESFJ,"고전주의, 아르누보, 서스테이너블, 모더니즘, 미니멀리즘"
25,secret,ISTP,"모더니즘, 고전주의, 서스테이너블, 복고풍, 인더스트리얼, 젠더뉴트럴, 미니멀리즘, 아르누보, 카운트리, 코티지코어"
25,female,ISFJ,"빅토리아, 미니멀리즘, 카운트리, 보헤미안, 모더니즘"
22,female,ISFP,"고전주의, 빅토리아, 모더니즘, 사이버펑크, 미니멀리즘"
23,female,ISFJ,"모더니즘, 서스테이너블, 젠더뉴트럴, 빅토리아, 카운트리"
24,male,ENFP,"하이테크, 젠더뉴트럴, 스트리트웨어, 아르누보, 모더니즘, 미니멀리즘"
29,female,INFP,"아르누보, 코티지코어, 보헤미안, 빅토리아, 카운트리, 서스테이너블"
22,female,INTP,"에스닉, 스트리트웨어, 빅토리아, 팝아트, 카운트리, 보헤미안, 키치, 고전주의, 코티지코어, 복고풍, 아르누보"
24,female,ESFP,"젠더뉴트럴, 고전주의, 서스테이너블, 미니멀리즘, 모더니즘, 아르데코, 빅토리아, 복고풍"
26,male,INFJ,"미니멀리즘, 카운트리, 모더니즘, 아르데코, 모노크롬"
23,female,ISFP,"미니멀리즘, 보헤미안, 모노크롬, 키치, 인더스트리얼, 젠더뉴트럴, 모더니즘"
19,male,ISTP,"모더니즘, 미니멀리즘, 복고풍, 빈티지, 스트리트웨어"
19,female,INFJ,"미니멀리즘, 코티지코어, 모노크롬, 모더니즘, 서스테이너블, 빈티지, 고전주의"
19,male,ISTP,"인더스트리얼, 모더니즘, 아방가르드, 보헤미안, 카운트리, 코티지코어"
21,female,ISFJ,"카운트리, 로맨틱, 펑크, 빅토리아, 미니멀리즘"
21,female,ISFP,"보헤미안, 젠더뉴트럴, 키치, 미니멀리즘, 모더니즘, 인더스트리얼, 모노크롬"
23,female,ISFJ,"보헤미안, 카운트리, 빅토리아, 모더니즘, 미니멀리즘"
24,male,INFJ,"모더니즘, 고전주의, 미니멀리즘, 노마드"
24,female,ISFJ,"키치, 복고풍, 팝아트, 펑크, 하이테크"
22,female,ISTJ,"키치, 코티지코어, 미니멀리즘, 팝아트, 모더니즘"
31,male,ENFP,"고전주의, 빅토리아, 코티지코어, 복고풍"
21,female,ESFJ,"아르누보, 고전주의, 서스테이너블, 미니멀리즘, 모더니즘, "
22,female,ENTJ,"스포티, 서스테이너블, 코티지코어, 빅토리아, 젠더뉴트럴, 노마드, 모더니즘, 미니멀리즘, 모노크롬, 사이버펑크, 고전주의"
25,female,ENTJ,"로맨틱, 코티지코어, 서스테이너블, 빅토리아"
22,female,ENFP,"아르데코, 고전주의, 미니멀리즘, 젠더뉴트럴, 아르누보, 모노크롬"
18,female,ESTP,"고전주의, 모노크롬, 복고풍, 모더니즘, 하이테크"
22,female,INFP,"아르누보, 빅토리아, 미니멀리즘, 로맨틱, 카운트리, 서스테이너블, 젠더뉴트럴, 코티지코어"
27,female,ESFP,"고전주의, 젠더뉴트럴, 빅토리아, 복고풍, 아르데코, 모더니즘, 서스테이너블, 미니멀리즘"
30,male,ESTJ,"아방가르드, 스트리트웨어, 스포티, 젠더뉴트럴, 인더스트리얼, 모더니즘, 하이테크, 미니멀리즘, 모노크롬"
19,male,INTJ,"아르누보, 아방가르드, 미니멀리즘, 서스테이너블, 모더니즘"
23,female,INTP,"보헤미안, 에스닉, 빅토리아, 코티지코어, 키치, 팝아트, 복고풍, 고전주의, 아르누보, 카운트리, 스트리트웨어"
25,female,ESFP,"빅토리아, 모더니즘, 복고풍, 젠더뉴트럴, 서스테이너블, 아르데코, 미니멀리즘, 고전주의"
22,female,INTP,"모더니즘, 모노크롬, 젠더뉴트럴, 보헤미안, 키치, 미니멀리즘"
23,secret,INTP,", 아르누보, 인더스트리얼, 모노크롬, 그런지, 아르데코, 보헤미안"
29,male,ESTJ,"모더니즘, 모노크롬, 스포티, 젠더뉴트럴, 아방가르드, 스트리트웨어, 하이테크, 인더스트리얼, 미니멀리즘"
26,female,ISTP,"빈티지, 고전주의, 미니멀리즘, 빅토리아, 젠더뉴트럴, 코티지코어"
26,female,INTP,"사이버펑크, 빅토리아, 모더니즘, 고전주의, 복고풍"
24,female,ENFP,"빅토리아, 로맨틱, 코티지코어, 모더니즘, 복고풍"
49,female,ISFJ,"모더니즘, 로맨틱, 복고풍, 고전주의, 빅토리아, 젠더뉴트럴, 인더스트리얼, 코티지코어, 보헤미안, 피트니스, 카운트리"
19,female,INTJ,"미니멀리즘, 빅토리아, 모노크롬, 고전주의, 모더니즘, 복고풍"
20,male,ISTP,"빈티지, 스트리트웨어, 모더니즘, 미니멀리즘, 복고풍"
22,male,ENFJ,"스포티, 서스테이너블, 아르누보, 젠더뉴트럴, 카운트리"
20,female,ISFP,"스트리트웨어, 코티지코어, 미니멀리즘, 카운트리, 고전주의, 빅토리아"
26,female,ESFP,"코티지코어, 그런지, 아방가르드, 아르데코, 미니멀리즘"
18,female,INTJ,"복고풍, 모더니즘, 고전주의, 미니멀리즘, 모노크롬, 빅토리아"
26,female,ENTJ,"서스테이너블, 로맨틱, 빅토리아, 코티지코어"
22,female,ESFJ,"서스테이너블, 고전주의, 미니멀리즘, 아르누보, 모더니즘, "
26,female,ISTP,"코티지코어, 젠더뉴트럴, 고전주의, 빈티지, 빅토리아, 미니멀리즘"
19,male,ISTP,"인더스트리얼, 코티지코어, 보헤미안, 모더니즘, 아방가르드, 카운트리"
24,male,ENFP,"모더니즘, 미니멀리즘, 하이테크, 젠더뉴트럴, 스트리트웨어, 아르누보"
21,male,ENTP,"인더스트리얼, 모더니즘, 고전주의, 노마드, 미니멀리즘, 모노크롬, 보헤미안, 하이테크, 빈티지"
18,female,ESTP,"그런지, 펑크, 고전주의, 복고풍"
22,female,ESFP,"빅토리아, 젠더뉴트럴, 에스닉, 모더니즘, 키치, 보헤미안, 로맨틱, 서스테이너블"
18,female,ESTP,"복고풍, 그런지, 고전주의, 펑크"
18,female,ENTP,"빅토리아, 인더스트리얼, 복고풍, 서스테이너블, 고전주의, 모더니즘, 젠더뉴트럴"
55,male,ISFJ,"서스테이너블, 보헤미안, 빅토리아, 코티지코어, 모더니즘, 복고풍, 빈티지, 젠더뉴트럴"
25,male,ISFP,"모더니즘, 젠더뉴트럴, 미니멀리즘, 빈티지, 복고풍, 그런지, 모노크롬, 스트리트웨어, 코티지코어, 아방가르드, 서스테이너블, 카운트리"
57,male,ISFJ,"코티지코어, 빈티지, 빅토리아, 보헤미안, 서스테이너블, 복고풍, 젠더뉴트럴, 모더니즘"
24,male,ISFP,"모더니즘, 빈티지, 젠더뉴트럴, 모노크롬, 코티지코어, 서스테이너블, 그런지, 스트리트웨어, 미니멀리즘, 복고풍, 아방가르드, 카운트리"
23,male,INFJ,"노마드, 고전주의, 모더니즘, 미니멀리즘"
22,female,ESTJ,"모더니즘, 빅토리아, 카운트리, 서스테이너블, 코티지코어"
25,male,ENFP,"미니멀리즘, 스트리트웨어, 하이테크, 젠더뉴트럴, 아르누보, 모더니즘"
25,female,ISFP,"서스테이너블, 미니멀리즘, 고전주의, 코티지코어, 모더니즘"
18,female,ENTP,"모더니즘, 인더스트리얼, 고전주의, 젠더뉴트럴, 빅토리아, 복고풍, 서스테이너블"
23,female,ISFP,"사이버펑크, 고전주의, 미니멀리즘, 모더니즘, 빅토리아"
26,female,ENTJ,"빅토리아, 서스테이너블, 로맨틱, 코티지코어"
24,male,ENFJ,"빅토리아, 아르누보, 코티지코어, 미니멀리즘, 사이버펑크"
26,female,ISFP,"모더니즘, 하이테크, 젠더뉴트럴, 서스테이너블, 코티지코어"
26,female,ESTP,"빅토리아, 복고풍, 스트리트웨어, 사이버펑크, 모더니즘, 키치, 하이테크, 보헤미안"
26,female,ESTP,"사이버펑크, 키치, 스트리트웨어, 하이테크, 모더니즘, 복고풍, 빅토리아, 보헤미안"
22,female,INFP,"키치, 팝아트, 스트리트웨어, 펑크, 사이버펑크"
26,female,ISTJ,"아르누보, 인더스트리얼, 모더니즘, 미니멀리즘, 서스테이너블, 그런지, 하이테크, 젠더뉴트럴"
25,female,INTP,"모노크롬, 보헤미안, 키치, 미니멀리즘, 젠더뉴트럴, 모더니즘"
53,male,ENFP,"아방가르드, 사이버펑크, 그런지, 젠더뉴트럴, 아르누보, 고전주의"
25,female,INFP,"아르누보, 빅토리아, 코티지코어, 보헤미안, 서스테이너블, 카운트리"
27,female,INTP,"모더니즘, 복고풍, 고전주의, 사이버펑크, 빅토리아"
29,female,ENFJ,"빅토리아, 아르누보, 로맨틱, 고전주의"
26,female,ESFP,"복고풍, 젠더뉴트럴, 아르데코, 모더니즘, 서스테이너블, 고전주의, 미니멀리즘, 빅토리아"
22,female,ENTJ,"빅토리아, 로맨틱, 서스테이너블, 코티지코어"
20,male,INTJ,"모더니즘, 서스테이너블, 미니멀리즘, 아르누보, 아방가르드"
26,female,INFP,"카운트리, 서스테이너블, 코티지코어, 아르누보, 빅토리아, 보헤미안"
23,female,ISFP,"고전주의, 빅토리아, 스트리트웨어, 코티지코어, 카운트리, 미니멀리즘"
21,male,ENFJ,"빅토리아, 아르누보, 코티지코어, 사이버펑크, 미니멀리즘"
24,female,ESFP,"고전주의, 빅토리아, 아르데코, 모더니즘, 서스테이너블, 젠더뉴트럴, 복고풍, 미니멀리즘"
23,male,ESTJ,"노마드, 피트니스, 하이테크, 빈티지, 복고풍, 코티지코어"
21,male,ENTP,"보헤미안, 모더니즘, 고전주의, 빈티지, 인더스트리얼, 미니멀리즘, 하이테크, 노마드, 모노크롬"
26,female,ISFJ,"빅토리아, 카운트리, 보헤미안, 모더니즘, 미니멀리즘"
23,female,ISFP,"모더니즘, 모노크롬, 인더스트리얼, 젠더뉴트럴, 미니멀리즘, 키치, 보헤미안"
20,male,INFJ,"미니멀리즘, 노마드, 모더니즘, 고전주의"
24,female,INTP,"미니멀리즘, 모노크롬, 모더니즘, 키치, 보헤미안, 젠더뉴트럴"
25,female,INTP,"고전주의, 빅토리아, 모더니즘, 복고풍, 사이버펑크"
23,male,ENFJ,"아르누보, 빅토리아, 사이버펑크, 미니멀리즘, 코티지코어"
