age,gender,mbti,styles
24,female,ISFJ,"미스테리, 모던, 미니멀, 19세기 영국, 서부"
23,female,ISFJ,"뮤지컬, 코미디, 전쟁, 애니메이션, SF"
24,male,ESTP,"역사, 흑백, 모던, 도시, SF"
22,female,ISFP,"역사, 미니멀, 19세기 영국, 도시, 서부, 가족"
21,female,ESTP,"모던, 다큐멘터리, 판타지, 드라마, 가족"
25,none,INTP,"아포칼립스, 미스테리, 흑백, 판타지, 누아르, 스릴러, "
22,female,ENFP,"미니멀, 다큐멘터리, 판타지, 드라마, 가족, "
24,female,ESTP,"미스테리, 모던, 19세기 영국, 사이버펑크, 도시, 코미디, SF, 뮤지컬"
24,male,ISFJ,"흑백, 모던, 미니멀, 고전, 액션, 드라마, 서부, SF, 뮤지컬"
24,male,ISFJ,"19세기 영국, 사이버펑크, 다큐멘터리, 액션, 가족, 스포츠, SF"
24,male,ENFJ,"아포칼립스, 미스테리, 모던, 19세기 영국, 사이버펑크, 도시, 스릴러, 가족"
17,female,ISTP,"모던, 19세기 영국, 다큐멘터리, 드라마, 가족"
23,female,ESFJ,"역사, 모던, 미니멀, 다큐멘터리, 판타지, "
17,female,ESTP,"아포칼립스, 역사, 전쟁, 뮤지컬"
17,female,ISTJ,"역사, 19세기 영국, 서부, 가족, 뮤지컬"
23,female,ISTJ,"흑백, 모던, 미니멀, 19세기 영국, 사이버펑크, 다큐멘터리, 액션, 스포츠, SF"
22,male,INFJ,"역사, 모던, 미니멀, 모험"
23,female,ENFP,"로맨스, 모던, 19세기 영국, 가족, 뮤지컬"
23,female,ISFP,"역사, 모던, 미니멀, 19세기 영국, 사이버펑크"
25,female,INTP,"역사, 모던, 19세기 영국, 사이버펑크, 뮤지컬"
17,female,ISTP,"모던, 미니멀, 액션, 드라마, 서부"
23,female,INTP,"미스테리, 흑백, 모던, 미니멀, 드라마, 코미디"
24,male,ESTJ,"뮤지컬, 고전, 가족, 스포츠, SF, 모험"
53,female,ESFJ,"역사, 미스테리, 뮤지컬, 미니멀, 드라마"
24,male,ESFP,"사이버펑크, 도시, 액션, 서부, 가족"
21,female,INFJ,"아포칼립스, 역사, 흑백, 모던, 19세기 영국, 다큐멘터리, 판타지, 아방가르드, 스릴러, 드라마"
23,male,ISFJ,"아포칼립스, 모던, 미니멀, 사이버펑크, 도시, 누아르"
21,female,INFP,"사이버펑크, 도시, 코미디, 애니메이션, 전쟁"
21,female,INFP,"로맨스, 미니멀, 19세기 영국, 다큐멘터리, 판타지, 드라마, 서부, 가족"
23,female,ISTP,"아포칼립스, 로맨스, 흑백, 모던, 미니멀, 역사, 19세기 영국, 고전, 사이버펑크, 다큐멘터리, 판타지, 아방가르드, 슈퍼 히어로, 스릴러, 드라마, 서부, 가족"
28,female,ENFJ,"역사, 로맨스, 19세기 영국, 판타지"
21,female,INFJ,"역사, 흑백, 모던, 미니멀, 고전, 다큐멘터리, 가족"
27,female,INFP,"미스테리, 19세기 영국, 다큐멘터리, 판타지, 서부, 가족"
17,female,ESTP,"역사, 흑백, 모던, SF, 뮤지컬"
20,female,INFP,"아포칼립스, 모던, 19세기 영국, 사이버펑크, 다큐멘터리, 가족"
24,male,ISFP,"도시, 액션, 드라마, 가족, SF"
22,male,INFJ,"아포칼립스, 흑백, 역사, 고전, 아방가르드"
24,female,ISTJ,"아포칼립스, 모던, 미니멀, 다큐멘터리, 판타지, 스릴러, 드라마, SF"
51,male,ENFP,"아포칼립스, 역사, 사이버펑크, 판타지, 아방가르드, 드라마"
24,male,ISTP,"뮤지컬, 흑백, 모던, 19세기 영국, 사이버펑크, 다큐멘터리"
24,female,ESFP,"아포칼립스, 미니멀, 누아르, 아방가르드, 가족"
24,male,ISFP,"아포칼립스, 흑백, 모던, 미니멀, 고전, 다큐멘터리, 도시, 아방가르드, 드라마, 서부, 가족, 뮤지컬"
23,male,ENFJ,"미니멀, 19세기 영국, 사이버펑크, 판타지, 가족"
49,female,ISFJ,"미스테리, 로맨스, 모던, 역사, 19세기 영국, 스릴러, 드라마, 서부, 가족, 스포츠, 뮤지컬"
17,female,INTJ,"역사, 흑백, 모던, 미니멀, 19세기 영국, 뮤지컬"
22,female,ISFJ,"로맨스, 미니멀, 19세기 영국, 서부, 전쟁"
25,female,ISTP,"미스테리, 로맨스, 모던, 미니멀, 역사, 19세기 영국, 사이버펑크, 다큐멘터리, 액션, 판타지, 슈퍼 히어로, 드라마, 서부, 코미디, SF, 뮤지컬"
56,male,ISFJ,"미스테리, 모던, 19세기 영국, 고전, 다큐멘터리, 드라마, 가족, 뮤지컬"
22,female,ISTJ,"흑백, 모던, 슈퍼 히어로, 스릴러, 드라마"
24,female,ESTJ,"모던, 19세기 영국, 다큐멘터리, 서부, 가족"
23,female,ISFP,"미스테리, 흑백, 모던, 미니멀, 스릴러, 드라마, 코미디"
23,female,ISTP,"흑백, 미니멀, 액션, 스릴러, 드라마, SF"
17,female,ENTP,"역사, 모던, 19세기 영국, 다큐멘터리, 스릴러, 드라마, 뮤지컬"
24,female,ISTJ,"모던, 미니멀, 가족, 코미디, 애니메이션"
23,female,ESFP,"미스테리, 로맨스, 모던, 19세기 영국, 다큐멘터리, 슈퍼 히어로, 드라마, 코미디"
27,male,ENFP,"미스테리, 흑백, 모던, 미니멀, 사이버펑크, 다큐멘터리, 액션, 누아르, 아방가르드, 스릴러, 드라마, 가족, 스포츠, SF, 뮤지컬"
24,female,INTP,"역사, 미스테리, 19세기 영국, 도시, 판타지, 슈퍼 히어로, 서부, 가족, 코미디, 애니메이션, 뮤지컬"
30,male,ENFP,"역사, 19세기 영국, 가족, 뮤지컬"
23,female,ISFP,"역사, 모던, 미니멀, 다큐멘터리, 가족"
24,female,ISTP,"역사, 미니멀, 19세기 영국, 고전, 드라마, 가족"
24,female,INFP,"미스테리, 뮤지컬, 다큐멘터리, 판타지, 드라마, 서부"
29,male,ESTJ,"흑백, 모던, 미니멀, 도시, 액션, 아방가르드, 스릴러, 드라마, SF"
22,female,ISTJ,"모던, 미니멀, 19세기 영국, 사이버펑크, 서부"
24,male,ENFJ,"다큐멘터리, 액션, 판타지, 드라마, 서부"
21,male,INTJ,"모던, 미니멀, 다큐멘터리, 판타지, 아방가르드"
24,none,ISTP,"모던, 미니멀, 역사, 다큐멘터리, 판타지, 스릴러, 드라마, 서부, 가족, 뮤지컬"
24,female,ISFJ,"역사, 모던, 미니멀, 드라마, 뮤지컬"
20,male,ISTP,"미스테리, 모던, 아방가르드, 스릴러, 서부, 가족"
24,female,ISFJ,"미니멀, 19세기 영국, 다큐멘터리, 드라마, 서부, 가족"
24,female,ISFP,"역사, 뮤지컬, 모던, 19세기 영국, 다큐멘터리, 판타지, 드라마"
24,male,ENFP,"모던, 미니멀, 도시, 판타지, 드라마, SF"
26,female,ESFP,"역사, 뮤지컬, 모던, 미니멀, 19세기 영국, 다큐멘터리, 누아르, 드라마"
24,female,INFP,"미스테리, 뮤지컬, 흑백, 모던, 미니멀, 역사, 19세기 영국, 고전, 사이버펑크, 도시, 액션, 슈퍼 히어로, 서부, 가족, 전쟁, 스포츠"
24,female,ISFP,"모던, 다큐멘터리, 드라마, 가족, SF"
21,male,ENTP,"역사, 미스테리, 흑백, 모던, 미니멀, 고전, 스릴러, SF, 모험"
22,female,ISFJ,"모던, 19세기 영국, 다큐멘터리, 드라마, 서부"
22,female,INTP,"미스테리, 뮤지컬, 로맨스, 모던, 역사, 19세기 영국, 판타지, 누아르, 아방가르드, 드라마, SF"
24,female,INFJ,"역사, 뮤지컬, 미니멀, 19세기 영국, 고전, 판타지, 드라마, 서부"
20,male,ISTP,"뮤지컬, 모던, 미니멀, 고전, 도시"
24,female,INTP,"미스테리, 사이버펑크, 아방가르드, 코미디, 뮤지컬"
24,female,ISFJ,"로맨스, 미니멀, 19세기 영국, 사이버펑크, 드라마"
24,female,ENTJ,"로맨스, 19세기 영국, 다큐멘터리, 가족"
24,female,ENFP,"역사, 흑백, 미니멀, 판타지, 누아르, 드라마"
22,female,ENTJ,"역사, 흑백, 모던, 미니멀, 19세기 영국, 사이버펑크, 다큐멘터리, 액션, 드라마, 가족, 모험"
24,female,ENTJ,"역사, 흑백, 로맨스, 모던, 미니멀, 다큐멘터리, 드라마, 서부, 가족, SF"
22,female,INTJ,"역사, 흑백, 모던, 고전, 사이버펑크, 판타지, 드라마"
24,female,ISTJ,"모던, 미니멀, 19세기 영국, 젠터 뉴트럴, 서부"
24,male,INFJ,"흑백, 모던, 미니멀, 누아르, 서부"
